LAY KENNETH L,enron,program,associateanalyst,compani,one,lay,subject,messag,work,continu,kenneth,2001,ken,manag,imag,jeff,employe,time,nonprivilegedpst,cindi,pleas,origin,ani,pm,sent,import,committe,peopl,see,rep,know,direct,trade,make,new,offic,provid,busi,ask,also,talent,cc,opportun,request,purpos,thank,mani,good,assist,believ,hr,would,call,valu,week,success,well,said,graduat,year,thing,onli,veri,remain,joe,want,best,vision,octob,recruit,creat,depart,person,forward,go,use,lead,leader,everi,left,group,take,better,18,develop,meet,write,email,like,told,mr,way,may,date,inform,talk,place,august,pictur,never,promot,ive,dont,supervisor,sheila,klay,need,becaus,seem,profession,first,money,rotat,process,asset,im,floor,receiv,current,help,get,author,world,colleagu,anoth,chairman,find,last,look,natur,lee,linda,bring,contribut,futur,enjoy,ever,network,john,listen,doe,three,right,support,sourc,behalf,prepar,quarter,contributor,given,2,prc,come,director,rosi,embed,thursday,feel,question,line,us,ago,rosale,could,singl,texa,hope,job,key,skill,metafil,growth,broad,campus,monday,1990,give,member,clariti,system,reassur,unchang,approach,guid,human,chair,worldwid,today,happen,principl,vote,silenc,memo,10,prospect,sutton,broadest,deadlin,sudden,baloney,
 ,156,106,64,57,53,45,38,38,37,37,34,32,32,31,31,31,30,28,28,27,27,26,26,26,26,25,25,24,24,24,24,23,23,22,21,21,21,21,21,21,21,21,20,20,20,20,20,20,19,19,19,18,18,18,18,18,18,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,15,15,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,
HANNON KEVIN P,enron,kevin,would,leadership,communic,like,know,hannonenron,communicationsenron,ken,jeff,case,subject,john,cornel,busi,travel,corpor,event,cc,thank,servic,school,control,pleas,manag,forward,email,week,review,time,date,comment,access,organ,march,leader,compani,want,point,opportun,ani,includ,cost,businesswid,outsid,think,save,activ,expens,refer,two,johnson,also,pm,confer,veri,hope,make,support,new,attach,memo,suzann,brown,believ,get,report,record,sent,let,use,agenc,issu,help,presid,one,need,profession,roll,sherri,chanc,call,mr,houston,could,american,studi,us,market,outlin,group,year,mani,well,lead,idea,made,possibl,2001,practic,2,altern,cant,june,tap,goal,1,may,given,060701,insur,give,less,ibuyit,hr,global,list,becom,chang,re,standard,someth,involv,sever,document,creat,probabl,focus,employe,india,becaus,still,late,much,legal,consider,steve,conduct,next,live,ford,express,lay,inform,dynam,28,discuss,continu,faculti,teach,thing,part,kind,recruit,propos,shot,pretti,112900,appreci,last,board,followup,present,speaker,student,intern,hannon,corn,carol,line,malik,request,test,wednesday,sign,via,obvious,kenneth,cours,6th,skeannsf,polici,good,anyth,realli,messag,biggest,greg,see,respons,close,committe,skill,question,regard,derrick,causey,work,prefer,
 ,147,115,74,68,62,55,53,51,50,50,50,48,46,45,45,45,43,41,40,40,38,38,36,36,35,35,35,34,33,32,32,31,31,30,30,30,30,29,28,28,28,27,27,26,26,26,26,26,25,25,25,24,24,24,24,24,23,23,23,23,22,22,22,21,21,21,21,21,21,20,20,20,20,20,20,20,20,20,20,20,19,18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,17,17,17,16,16,16,16,16,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,
KOENIG MARK E,power,california,price,energi,market,electr,call,compani,generat,ferc,rate,would,util,cap,like,may,risk,first,think,new,mark,also,enron,subject,state,crisi,wholesal,ani,gas,stock,exposur,ene,receiv,forward,investor,financi,commission,duk,duke,1,earn,1h,secur,bankruptci,view,2,plant,hebert,cost,note,dyn,increas,posit,pm,propos,buy,manag,natur,competit,said,2001,research,issu,rei,control,could,cc,corpor,relat,profit,believ,sell,credit,analyst,suppli,us,summer,meet,dynegi,decis,still,pleas,prudenti,potenti,corp,address,thomson,3,week,sent,trade,impos,problem,updat,longterm,onli,oper,howev,4,firstcallnotestfncom,point,messag,time,expect,see,iso,sever,reserv,industri,favor,independ,confer,polici,one,materi,pge,less,bill,koenigcorpenron,doe,year,solut,solv,present,supplier,billion,appear,million,share,cash,ae,action,releas,regul,make,transact,subsidiari,high,houston,est,involv,result,interest,support,octob,group,given,reregul,creat,past,within,govern,net,spike,work,free,measur,right,current,requir,nile,5,invest,public,short,20,commod,sold,per,2002,skeannsf,republican,york,street,situat,origin,concern,coal,pcg,higher,use,tax,opportun,consum,decid,cpuc,contract,remain,base,annual,recent,nearterm,2000,whether,sale,cpn,number,although,comment,made,
 ,290,284,274,254,214,190,162,162,156,151,144,137,120,112,106,97,96,94,93,91,88,87,86,85,84,83,82,81,80,79,77,74,72,71,71,69,68,68,67,67,66,65,65,65,64,63,62,61,61,56,56,56,54,54,54,51,49,49,48,46,46,45,44,44,43,43,43,43,42,42,42,42,41,41,41,41,40,40,40,39,39,39,39,38,37,37,37,37,37,37,37,37,37,36,36,36,35,35,35,35,35,35,34,34,34,33,33,33,33,33,32,32,32,32,32,32,32,31,31,31,31,31,31,31,30,30,30,30,30,30,30,30,30,29,29,29,29,29,29,29,28,28,28,28,28,28,28,28,28,28,28,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,26,26,26,26,26,26,26,26,26,25,25,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,
RIEKER PAULA H,email,paula,enron,pleas,meet,board,thank,nonprivilegedpst,communic,pm,ani,statement,communicationsenron,review,corp,inform,call,kelli,confidenti,receiv,need,subject,execut,messag,question,assist,attach,blockbust,johnson,fax,notifi,forward,sent,contain,manag,ask,7138532534,discuss,2,tel,7138536485,time,today,may,cc,week,kellyjohnsonenroncom,origin,intend,ed,director,comment,would,m,busi,like,2001,ene,contract,follow,expect,richard,ken,immedi,david,deal,octob,1,recipi,plan,jeff,use,rieker,smidaenron,copi,sale,jr,media,rbuy,issu,committe,know,buy,pls,onli,abov,send,continu,mark,andor,energi,greg,join,updat,privileg,prohibit,provid,rick,confer,name,get,jderric,sender,return,session,tuesday,answer,system,dissemin,individu,advis,delet,set,schedul,herein,agenda,novemb,monday,notic,herebi,make,room,note,3,veri,friday,put,see,error,chang,organ,project,team,jim,jeffrey,version,via,riekercorpenronenron,mcmahon,assum,jame,tim,bod,file,13002pst,differ,also,us,steve,befor,offic,respons,avail,consid,one,cash,regard,number,bowen,bg,agreement,includ,next,klay,releas,fyi,new,said,much,contact,item,market,date,lunch,document,someon,earli,complianc,derrick,louis,held,particip,person,sinc,investor,frank,raymond,broad,slide,risk,look,even,recommend,minut,ray,extend,three,offer,word,sign,
 ,123,84,77,71,67,64,59,59,56,56,55,52,42,42,40,38,37,37,36,35,35,35,34,33,31,30,30,30,29,29,29,29,29,29,27,27,26,26,26,26,26,25,25,25,25,25,25,24,24,24,24,24,23,23,23,23,22,21,21,21,21,20,20,20,19,19,19,19,19,19,19,19,18,18,18,18,18,18,18,18,18,18,18,17,17,17,17,16,16,16,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,
BOWEN JR RAYMOND M,enron,2001,ray,john,subject,march,trip,sent,raymond,david,ski,jeffrey,pleas,bowen,ani,cash,w,program,compani,busi,mark,wed,februari,date,cc,unit,inform,origin,week,corp,custom,nonprivilegedpst,alloc,messag,regard,decemb,louis,meet,h,review,jr,servic,dori,must,thank,l,21,includ,j,daili,new,would,approv,13,payment,committe,pm,manag,question,file,request,budget,2,memo,provid,project,need,see,3,delainey,sun,4,wwwblackberrynet,sat,coordin,11302000,handheld,discuss,enaegmeim,11,scott,kitchen,mike,bowenhouectect,make,blackberri,wireless,congratul,us,tim,want,georg,order,kevin,plan,prepetit,flow,sale,requir,greg,approach,fund,effect,disburs,wes,peter,d,support,novemb,rob,per,behalf,direct,peopl,trade,mcmahon,well,america,c,6,dave,aig,market,gari,go,privat,wednesday,appear,let,eim,massag,asset,beaver,lavoratocorpenronenron,1,issu,entiti,group,brian,28,perkin,year,energi,canada,rc,mcconnellhouectect,friday,number,one,night,season,dash,14,person,also,preliminari,particip,transact,rick,vinc,frevertnaenronenron,mari,andrew,eric,chang,janet,7,5,know,creek,shankmanhouectect,cost,dinner,bankruptci,2702pst,function,book,mcmahonhouectect,cater,experienc,e,inc,fax,veri,michael,item,two,next,effort,wasaff,control,process,oper,polici,reason,keohan,sharon,attach,17,r,
 ,36,35,32,25,25,25,24,23,22,21,21,21,20,19,19,19,19,18,18,18,18,18,18,17,17,16,15,15,15,15,15,14,14,14,14,14,13,13,13,13,13,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
SHELBY REX,enron,rex,meet,mark,jeff,work,20,agreement,compani,thank,forward,i2,need,greg,time,would,also,call,ani,nda,team,look,sun,plan,subject,role,demo,offlin,andi,review,tibco,board,2001,today,get,deal,softwar,best,sungard,great,draft,cc,legal,execut,palmer,0909,sign,technolog,one,ann,shelbi,clear,zipper,updat,ibm,pleas,houston,network,attach,contact,jay,want,offic,regard,oracl,readi,us,file,inc,direct,market,continu,eb,messag,contract,success,hello,thursday,origin,issu,group,status,discuss,know,sent,713,chief,week,like,oper,provid,minut,last,commerci,complet,corpor,announc,counsel,go,new,ceo,number,john,15,structur,9am,see,schedul,tuesday,make,includ,pm,sale,peter,list,valu,chang,next,employe,david,interact,propos,sap,c,01232001,communic,re,friday,risk,pleasur,process,1,may,help,good,andypst,initi,year,ask,retain,done,relationship,greenberg,busi,soon,throughout,opportun,idea,congratul,certain,monday,past,let,vbn,xceler,give,effort,accept,februari,expect,presid,first,differ,memo,channel,mtaylornsf,microsoft,ip,skill,subgroup,assum,worldwid,develop,audit,shelbyenron,copi,applic,manag,global,piper,remain,reuter,place,tomorrow,posit,chairman,fowler,hope,possibl,come,addit,everyon,bob,layenron,30,growth,hear,al,futur,gp,
 ,76,69,61,56,53,45,44,44,38,38,36,33,32,30,30,29,29,28,28,28,27,27,26,26,26,25,24,24,24,24,24,24,24,22,22,22,21,20,20,19,19,19,19,18,18,18,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,
CAUSEY RICHARD A,enron,20,would,busi,support,subject,action,cc,thank,issu,richard,know,oper,offic,barri,need,rick,pleas,plan,interview,meet,may,work,school,mark,obsf,year,lexi,requir,salli,fernley,pm,2001,account,get,match,follow,trade,us,1,opportun,causeycorpenronenron,discuss,forward,interest,ani,london,sbecknsf,recruit,mike,2,candid,fall,updat,re,gift,communic,time,as400,think,posit,deadlin,internship,ted,believ,provid,addit,mccomb,also,complet,includ,facil,analyst,possibl,full,compani,last,ut,contribut,univers,effort,asap,let,like,john,particip,go,sent,product,concern,review,resourc,beckhouectect,process,houston,well,function,howev,make,team,current,peopl,cash,aa,w,spring,e,global,bob,onli,week,point,great,david,suggest,develop,month,part,receiv,inform,europ,see,abov,messag,attach,relat,skill,level,veri,look,chang,control,determin,email,wednesday,02092001,open,report,signific,note,3,regard,alumni,system,give,thing,respons,particular,way,origin,andrew,manag,coordin,present,audit,jeff,repres,agre,continu,one,activ,document,director,summer,5,program,back,view,metal,intern,o,dinner,consid,capit,million,place,buyhouectect,balanc,sap,take,find,could,hope,lead,detail,even,call,must,elliott,focus,name,given,prc,associ,question,michael,austin,room,alreadi,result,
 ,110,108,86,71,69,67,66,63,62,60,58,56,55,54,54,54,52,52,51,50,50,49,47,46,45,45,44,44,39,39,38,37,37,37,36,36,35,35,35,35,34,34,34,34,33,33,32,32,32,32,31,31,31,30,30,30,30,30,30,30,30,30,30,30,30,29,29,29,29,28,28,28,27,27,27,27,27,27,27,26,26,26,26,26,25,25,25,25,24,24,24,24,24,24,24,24,24,23,23,23,23,23,23,23,23,23,23,22,22,22,22,22,22,22,21,21,21,21,20,20,20,20,20,20,20,19,19,19,19,19,19,19,19,19,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,
BELDEN TIMOTHY N,tim,price,market,ani,would,enron,time,peopl,cap,power,trade,inform,pleas,california,work,email,need,know,subject,deal,iso,day,like,meet,file,forward,hour,us,pm,get,ferc,epmi,desk,0,term,week,want,new,busi,sent,belden,think,go,cc,group,last,make,dont,messag,may,load,respons,document,year,question,delet,month,polici,order,offic,west,schedul,short,john,receiv,one,px,floor,thank,report,copi,let,issu,2001,origin,next,provid,20,1,manag,chris,portland,chang,use,continu,risk,p,regard,help,take,2,person,employe,follow,energi,servic,also,total,hard,real,team,base,current,3,louis,system,ub,attach,custom,contract,long,beldenhouectect,greg,move,posit,post,62602pst,right,cours,state,whether,call,two,offer,discuss,jeff,see,mani,data,process,look,general,enpow,dure,cost,propos,steve,beldenhouect,4,befor,date,requir,bid,list,clear,could,januari,particip,first,transact,indic,kitchen,place,cash,veri,thing,mark,investig,way,compani,purchas,ask,communic,done,everyon,today,updat,sure,come,attend,addit,5,relat,spreadsheet,coupl,bill,reserv,2000,mike,re,comment,util,point,made,letter,calger,believ,matter,northwest,fact,rate,interest,valu,demand,monday,final,j,electron,kate,novemb,
 ,556,550,530,499,395,382,367,362,350,340,317,312,311,302,298,296,289,286,284,283,267,267,255,251,251,249,237,235,233,232,227,215,211,210,210,199,198,194,192,186,186,180,178,177,177,176,175,175,175,174,168,167,165,162,159,158,158,158,157,157,153,153,153,152,152,151,151,150,150,147,146,145,145,144,144,141,141,140,138,136,135,134,133,131,130,129,128,128,127,126,125,124,124,123,120,119,118,118,118,117,115,115,114,114,114,112,111,111,110,108,108,108,107,106,106,104,104,103,103,102,102,101,101,100,100,100,99,97,96,96,96,96,95,95,95,95,95,94,94,94,93,93,93,92,92,91,91,91,91,90,90,90,90,90,89,89,89,89,88,87,87,87,87,87,87,87,85,85,85,85,85,84,83,83,83,82,81,81,81,80,80,80,80,80,79,79,79,79,79,78,78,78,78,77,77,76,76,76,75,75,
